Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B229,Y-G-B-R,Grassland,NF2,25/07/2025,26/07/2025,29/07/2025,Translocation,Woodland,MC,C3,Abax sp.,0.441,0.400,0.391,Alive,04/08/2025,0.381,12/08/2025,0.336,No,Yes
B235,Y-G-G-G,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,LC,C20,Abax sp.,0.354,0.345,0.371,Alive,12/08/2025,0.319,NA,NA,No,Yes
B236,Y-G-G-Y,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,MC,C10,Abax parallelepipedus,0.330,0.309,0.293,Alive,,,,,No,Yes
B237,Y-G-Y-R,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,NF1,C1,Abax parallelepipedus,0.315,0.284,0.311,Alive,,,,,No,Yes
B238,Y-G-Y-B,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,NF2,C14,Abax parallelepipedus,0.265,0.259,0.277,Alive,,,,,No,Yes
B240,Y-G-Y-Y,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Competition,Grassland,CF,C13,Pterostichus madidus,0.150,0.136,0.129,Alive,,,,,No,Yes
B242,Y-Y-R-B,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT2,C2,Abax sp.,0.567,0.538,0.501,Alive,12/08/2025,0.479,NA,NA,No,Yes
B243,Y-Y-R-G,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,LC,C24,Abax sp.,0.822,0.760,0.721,Alive,12/08/2025,0.679,NA,NA,Yes,Yes
B245,Y-Y-B-R,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,NF2,C15,Abax sp.,1.078,0.982,0.936,Alive,12/08/2025,0.854,NA,NA,Yes,Yes
B247,Y-Y-B-G,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT2,C9,Pterostichus madidus,0.144,0.131,0.119,Alive,,,,,Yes,Yes
B250,Y-Y-G-B,Grassland,LC,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT2,C22,Calathus fuscipes,0.082,0.081,0.095,Alive,12/08/2025,0.081,,,No,Yes
B252,Y-Y-G-Y,Woodland,MC,31/07/2025,01/08/2025,04/08/2025,Competition,Woodland,BN,C25,Pterostichus madidus,0.122,0.123,0.132,Alive,,,,,No,Yes
B253,Y-Y-Y-R,Woodland,BN,31/07/2025,01/08/2025,04/08/2025,Control,Woodland,MC,C26,Pterostichus madidus,0.118,0.112,0.104,Alive,,,,,No,Yes. Slow twitchy movement might die soon
B258,R-R-R-B,Woodland,MC,31/07/2025,01/08/2025,04/08/2025,Competition,Woodland,GT1,C12,Pterostichus madidus,0.140,0.135,0.138,Alive,,,,,No,Yes
B001,R-R-R-R,Grassland,NF2,04/06/2025,06/06/2025,09/06/2025,Competition,Grassland,NF1,C7,Poecilus versicolor,0.047,0.0385,0.033,Dead,NA,NA,NA,NA,NA,Yes. Looks like its’s close to dying. Found dead in the field.
B002,R-R-R-B,Grassland,NF1,04/06/2025,06/06/2025,09/06/2025,Competition,Grassland,NF1,C7,Abax sp.,0.384,0.270,0.251,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B005,R-R-B-R,Woodland,GT1,04/06/2025,06/06/2025,09/06/2025,Translocation,Grassland,CF,C5,Abax parallelepipedus,0.307,0.246,0.170,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B009,R-R-G-R,Grassland,NF1,11/06/2025,13/06/2025,16/06/2025,Competition,Grassland,CF,C5,Abax sp.,0.4825,0.425,0.221,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B010,R-R-G-B,Grassland,NF1,11/06/2025,13/06/2025,16/06/2025,Control,Grassland,CF,C13,Abax parallelepipedus,0.256,0.222,0.093,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B012,R-R-G-Y,Grassland,NF1,11/06/2025,13/06/2025,16/06/2025,Combined,Grassland,NF2,C15,Nebria brevicollis,0.083,0.075,0.046,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B013,R-R-Y-R,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Combined,Woodland,GT1,C16,Abax parallelepipedus,0.301,0.244,0.187,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B015,R-R-Y-G,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Translocation,Grassland,LC,C20,Abax parallelepipedus,0.309,0.256,0.1325,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B016,R-R-Y-Y,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Competition,Woodland,GT1,C12,Abax parallelepipedus,0.294,0.272,0.216,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B017,R-B-R-R,Woodland,GT2,11/06/2025,14/06/2025,17/06/2025,Control,Woodland,MC,C10,Abax parallelepipedus,0.303,0.275,0.173,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B018,R-B-R-B,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Translocation,Grassland,LC,C19,Abax parallelepipedus,0.296,0.256,0.123,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B019,R-B-R-G,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Control,Woodland,GT2,C2,Abax parallelepipedus,0.278,0.243,0.175,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B020,R-B-R-Y,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Competition,Woodland,GT1,C12,Abax parallelepipedus,0.283,0.256,0.209,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field. There were 2 beetles with no markings so I couldn’t tell which beetle it was but most likely this one due the amount of weight loss.
B021,R-B-B-R,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Control,Woodland,GT2,C9,Abax parallelepipedus,0.261,0.224,0.159,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field. There were 2 beetles with no markings so I couldn’t tell which beetle it was but most likely this one due the amount of weight loss.
B022,R-B-B-B,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Translocation,Grassland,NF2,C21,Pterostichus madidus,0.113,0.102,0.068,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B023,R-B-B-G,Woodland,GT2,11/06/2025,13/06/2025,16/06/2025,Translocation,Grassland,NF1,C18,Nebria brevicollis,0.076,0.071,0.037,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B026,R-B-G-B,Grassland,CF,11/06/2025,13/06/2025,16/06/2025,Translocation,Woodland,GT1,C4,Abax parallelepipedus,0.249,0.197,0.155,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B027,R-B-G-G,Woodland,MC,11/06/2025,13/06/2025,16/06/2025,Combined,Grassland,NF2,C12,Abax parallelepipedus,0.261,0.214,0.121,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B028,R-B-G-Y,Woodland,MC,11/06/2025,13/06/2025,16/06/2025,Competition,Woodland,GT2,C11,Pterostichus madidus,0.139,0.117,0.086,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B029,R-B-Y-R,Woodland,BN,11/06/2025,13/06/2025,16/06/2025,Translocation,Grassland,NF1,C1,Nebria brevicollis,0.070,0.065,0.039,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B030,R-B-Y-B,Woodland,BN,11/06/2025,14/06/2025,17/06/2025,Control,Woodland,MC,C3,Pterostichus madidus,0.136,0.115,0.082,Dead,NA,NA,NA,NA,NA,Yes. Accidental red dot at the bottom mixed with the yellow. Found dead in the field.
B031,R-B-Y-G,Grassland,NF2,11/06/2025,13/06/2025,16/06/2025,Competition,Grassland,CF,C5,Abax parallelepipedus,0.2865,0.241,0.106,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B032,R-B-Y-Y,Grassland,NF2,11/06/2025,14/06/2025,17/06/2025,Translocation,Woodland,BN,C6,Poecilus versicolor,0.056,0.060,0.031,Dead,NA,NA,NA,NA,NA,Yes. Looks like its’s close to dying. found dead in the field.
